Age,Study Hours,Academic Pressure,Financial Stress,Gender,Study Satisfaction,CGPA
34,3.530189357177902,2.0,3.0,0,4.0,6.7
21,6.498009890528638,1.0,2.0,0,3.0,5.51
35,8.521284348131779,3.0,3.0,0,4.0,6.72
25,6.91198506974661,3.0,3.0,1,5.0,8.63
21,4.470658275753564,2.0,2.0,1,3.0,5.68
19,6.905671988960555,4.0,2.0,1,3.0,6.89
23,10.067389929259884,3.0,2.0,0,3.0,7.0
39,9.244405087962495,1.0,4.0,0,3.0,5.49
27,6.888392783141143,4.0,1.0,1,2.0,7.24
21,8.712608698704557,1.0,2.0,1,2.0,5.97
39,6.340287363337507,4.0,1.0,1,4.0,7.58
35,3.933031143711906,4.0,3.0,1,4.0,6.12
29,5.335961221366802,3.0,2.0,0,3.0,7.36
19,9.813199783314756,4.0,2.0,1,3.0,7.77
27,6.506812452707252,3.0,4.0,1,4.0,6.02
21,6.561908837124967,4.0,2.0,0,3.0,6.48
31,6.460291246705215,2.0,2.0,1,4.0,8.27
33,10.427445861231412,5.0,2.0,1,4.0,8.58
32,9.926726047651714,5.0,2.0,1,4.0,7.97
25,10.99380442020664,4.0,5.0,0,4.0,7.18
31,6.713718621279908,3.0,1.0,0,5.0,8.65
40,7.532124079744771,4.0,3.0,1,3.0,6.39
25,4.270043411042575,3.0,5.0,0,3.0,4.46
38,9.658481967012893,3.0,3.0,1,5.0,8.29
33,4.897996807717718,3.0,3.0,1,4.0,7.17
30,7.390196014772733,4.0,1.0,0,4.0,8.16
35,5.024855450260881,3.0,4.0,1,3.0,6.36
32,5.940039711870347,4.0,3.0,0,3.0,6.34
38,5.492927624110539,3.0,1.0,0,3.0,7.36
30,5.905824530783528,2.0,2.0,0,2.0,6.84
26,6.029579134331838,5.0,1.0,1,4.0,5.87
32,6.013116169134861,1.0,1.0,1,2.0,5.43
30,8.500001041204552,3.0,1.0,1,3.0,8.08
18,5.011246972487464,3.0,3.0,1,3.0,5.48
24,7.396974568624961,4.0,3.0,0,5.0,6.88
26,9.192326474150004,4.0,2.0,1,3.0,6.1
18,6.076246543875887,5.0,4.0,1,4.0,4.77
29,5.7077459966543165,3.0,3.0,0,3.0,6.62
25,6.585055674675549,2.0,2.0,0,4.0,5.9
28,9.123505375049278,3.0,2.0,1,5.0,7.84
36,7.349393735716044,3.0,3.0,0,4.0,7.12
34,6.043814269706322,3.0,2.0,1,3.0,6.61
25,7.870977972138472,2.0,1.0,1,2.0,6.92
20,5.0158741302944385,4.0,2.0,0,4.0,6.71
20,8.226447118797307,3.0,3.0,0,3.0,6.71
18,7.735493153863182,2.0,4.0,1,3.0,5.49
22,6.445944751950009,4.0,3.0,1,4.0,6.81
27,5.490545562794984,2.0,3.0,1,3.0,6.4
24,5.403974339889777,2.0,4.0,1,3.0,4.63
26,7.962671205422638,3.0,3.0,1,4.0,6.97
24,9.21216490448031,1.0,2.0,0,3.0,5.72
26,5.852846055348169,4.0,4.0,1,2.0,5.23
25,7.825096066392671,1.0,3.0,0,4.0,5.67
29,3.243351366516276,2.0,4.0,0,4.0,5.04
19,5.947688084817041,4.0,1.0,0,3.0,7.57
18,6.944093920832376,2.0,2.0,1,3.0,5.84
33,5.362569849432699,3.0,2.0,1,3.0,7.56
40,5.3142885253787275,4.0,3.0,0,4.0,6.99
40,5.797996798356005,2.0,4.0,0,5.0,7.42
22,7.5259469109874715,4.0,1.0,0,4.0,8.11
20,6.662807766868526,4.0,3.0,0,3.0,5.86
29,2.97118378001505,3.0,1.0,0,4.0,7.92
25,3.182739725256881,2.0,4.0,1,3.0,6.31
39,5.9076426798570845,2.0,1.0,0,4.0,8.5
20,7.8238358548963935,5.0,3.0,1,3.0,5.34
18,2.0544912830945776,3.0,3.0,0,3.0,5.76
20,6.100485682927065,5.0,3.0,0,4.0,5.63
22,6.052753858268642,5.0,2.0,1,4.0,5.05
32,9.499008000775206,4.0,2.0,1,4.0,8.08
31,6.306960738916845,3.0,4.0,0,4.0,6.12
20,7.689380172533671,3.0,3.0,1,3.0,6.98
18,7.254262852157434,3.0,3.0,1,4.0,5.94
22,3.164980336347039,2.0,4.0,0,4.0,5.61
40,8.382772989937127,3.0,1.0,0,3.0,8.09
31,7.387713709821318,2.0,1.0,0,3.0,7.52
24,7.9148835514142615,2.0,2.0,1,3.0,6.2
26,14.03092947615414,5.0,2.0,0,3.0,7.43
32,7.101405316261817,2.0,2.0,0,3.0,7.36
32,6.07813768177336,4.0,3.0,1,4.0,7.17
27,9.159348542534644,1.0,4.0,0,3.0,4.99
30,6.606422059307373,4.0,2.0,1,2.0,6.25
36,4.204362303936106,3.0,2.0,1,5.0,7.93
24,6.4573047456624275,4.0,3.0,0,3.0,6.89
34,7.448521609085015,3.0,2.0,1,3.0,8.62
37,5.391712179002305,1.0,3.0,1,4.0,5.72
21,5.53372937229321,3.0,2.0,0,3.0,6.53
22,6.016733731373127,3.0,3.0,1,3.0,7.14
40,9.198224188120529,3.0,2.0,0,3.0,8.01
24,6.123115559237729,4.0,3.0,0,4.0,6.75
30,9.572410633391856,3.0,2.0,0,3.0,7.59
32,5.893089211332995,2.0,2.0,0,4.0,6.68
28,7.585025445261776,2.0,3.0,0,5.0,7.87
21,6.196763186404448,3.0,2.0,1,3.0,7.21
30,8.35734970652285,3.0,2.0,1,4.0,7.94
24,4.987106521782497,5.0,1.0,1,5.0,6.7
36,8.337147063239017,4.0,1.0,0,3.0,8.32
39,7.204964920557431,4.0,3.0,0,4.0,7.26
19,5.848014729800592,3.0,4.0,0,3.0,5.77
27,6.700801327521729,3.0,2.0,0,5.0,8.32
30,9.760938893857915,4.0,2.0,1,3.0,7.76
38,7.24812010878541,3.0,1.0,1,4.0,7.98
23,5.73508957135725,3.0,1.0,0,4.0,7.65
29,4.831552090909398,1.0,3.0,0,2.0,4.0
29,7.909727692175795,3.0,1.0,0,3.0,8.14
37,7.352521444619234,3.0,1.0,1,3.0,8.61
28,8.251037251158802,2.0,3.0,1,4.0,7.33
40,4.367995468558284,2.0,3.0,0,2.0,5.95
24,4.8899311847953,3.0,3.0,0,4.0,6.33
18,9.064382558653419,4.0,3.0,1,4.0,6.78
18,7.596414964202813,3.0,2.0,1,4.0,7.1
37,7.960121532227611,4.0,1.0,0,5.0,7.97
30,5.267163342205684,4.0,2.0,0,2.0,5.5
26,5.234223043007947,3.0,2.0,0,4.0,8.77
20,8.784265584745759,3.0,1.0,1,3.0,7.89
24,8.869079778577268,1.0,2.0,0,2.0,5.72
23,5.041024923347703,3.0,2.0,1,3.0,7.21
25,4.697133107464879,3.0,2.0,0,5.0,7.79
26,6.804532652717601,4.0,2.0,0,4.0,5.87
22,5.561172783923189,3.0,3.0,0,4.0,7.25
18,5.523681617717154,2.0,3.0,1,4.0,6.52
36,4.747519156430693,4.0,4.0,0,2.0,5.17
27,6.15681907309534,4.0,1.0,1,4.0,7.79
29,4.921549463260841,3.0,2.0,0,4.0,7.02
32,5.028278374583374,4.0,4.0,1,3.0,5.1
39,7.537105323819349,1.0,1.0,0,5.0,7.24
26,6.9006431782827224,1.0,1.0,1,3.0,7.37
37,7.872781626757837,2.0,2.0,0,4.0,7.81
34,4.031739816371248,3.0,4.0,1,4.0,6.05
34,7.017785097693574,4.0,2.0,1,4.0,7.95
37,10.736147575898508,3.0,3.0,0,3.0,7.28
29,6.3299095282859215,2.0,2.0,1,4.0,7.79
24,8.484548211830136,3.0,1.0,1,4.0,8.3
19,8.468812327793962,3.0,5.0,0,2.0,4.39
20,8.557357494402297,3.0,3.0,1,5.0,7.95
34,7.299991036703181,3.0,3.0,0,3.0,7.47
22,8.018954768939585,4.0,3.0,0,5.0,8.51
34,8.258224516023411,4.0,3.0,1,3.0,6.69
34,8.143802850965844,3.0,4.0,1,3.0,6.44
34,4.988647287675887,4.0,4.0,1,4.0,5.87
19,3.9267079314208235,3.0,2.0,1,3.0,7.15
19,4.203549621853347,4.0,4.0,1,2.0,5.31
39,6.5137120137112055,2.0,2.0,0,3.0,8.09
40,8.06906812196076,2.0,3.0,0,4.0,8.29
22,5.012059700479147,2.0,1.0,1,5.0,8.83
18,8.663146825451927,3.0,3.0,1,2.0,7.82
18,6.095904685885805,3.0,2.0,1,4.0,7.51
36,6.113040619850658,3.0,1.0,1,3.0,8.18
19,5.495007407416719,5.0,4.0,1,4.0,5.2
38,3.607384553770707,4.0,4.0,0,4.0,6.62
29,7.412765431182365,3.0,4.0,0,3.0,6.52
23,10.082801883109424,4.0,1.0,0,4.0,9.43
40,6.887203857641386,4.0,4.0,1,4.0,7.87
21,3.6688630449492656,4.0,2.0,1,4.0,6.22
40,8.404617060909603,4.0,4.0,1,2.0,6.75
28,4.075363617814619,3.0,3.0,0,3.0,6.11
34,4.823738085419466,2.0,3.0,0,3.0,6.77
23,6.570991289835573,2.0,3.0,0,4.0,6.81
22,7.221118189372357,3.0,2.0,0,3.0,8.26
37,5.184404797899709,2.0,2.0,1,4.0,7.95
19,6.500831098181235,3.0,2.0,1,5.0,8.55
23,8.287292321369232,3.0,2.0,1,3.0,7.58
39,8.533921992654433,4.0,4.0,1,5.0,7.43
28,9.252621559265677,1.0,1.0,1,2.0,7.07
33,10.436953574128289,3.0,4.0,1,3.0,5.84
33,8.45780077899001,4.0,3.0,0,2.0,5.73
18,6.609874274072367,3.0,3.0,1,4.0,7.66
26,8.54676482402135,3.0,3.0,1,4.0,8.11
23,7.840089221209328,4.0,3.0,1,3.0,7.52
33,7.911460559547258,2.0,3.0,1,3.0,8.02
20,7.318993813129034,2.0,3.0,1,2.0,7.01
37,5.358302616122968,2.0,3.0,1,5.0,7.03
21,5.149426465920525,1.0,2.0,1,3.0,6.16
36,6.825187238064744,3.0,1.0,1,3.0,9.4
20,7.26803813652347,3.0,2.0,0,5.0,8.97
36,5.7770063387229165,2.0,3.0,0,3.0,6.34
37,7.762015507495436,2.0,4.0,0,3.0,5.69
24,10.74537862727054,4.0,3.0,1,3.0,7.34
37,3.8602047052991364,2.0,4.0,0,3.0,4.01
26,8.04804005961477,3.0,3.0,1,3.0,7.8
18,6.881245682396542,3.0,2.0,0,3.0,6.25
25,7.811179999602379,3.0,4.0,0,5.0,7.8
24,6.224713539171476,3.0,2.0,1,2.0,7.4
35,6.7370922069151,3.0,3.0,1,2.0,7.57
25,7.2331008118145785,3.0,1.0,1,4.0,9.19
18,6.457059009636531,4.0,1.0,1,3.0,6.62
28,4.263025628734182,3.0,3.0,0,4.0,6.73
35,6.578952944839984,4.0,3.0,0,3.0,6.59
40,4.450419469246851,4.0,4.0,1,3.0,6.27
27,8.175747599044557,2.0,2.0,0,5.0,7.89
20,3.6420188180593795,2.0,4.0,0,2.0,5.65
24,8.851577883020601,3.0,4.0,0,4.0,6.57
33,7.773213400366263,4.0,2.0,1,4.0,5.94
33,7.78009950832101,5.0,4.0,1,4.0,6.09
37,3.1042422378738888,3.0,3.0,1,3.0,6.27
34,6.408521011435199,3.0,4.0,0,2.0,5.03
19,9.076414171587748,4.0,4.0,1,5.0,6.83
18,6.06650563774547,3.0,3.0,1,3.0,6.74
33,5.059488130065315,4.0,1.0,0,5.0,7.35
29,5.853993828989719,2.0,3.0,1,4.0,6.03
22,6.877100279249191,4.0,1.0,1,3.0,7.56
22,5.46753318943694,4.0,3.0,1,4.0,7.38
40,9.220871017760729,4.0,3.0,0,5.0,7.55
26,6.883598446017293,3.0,2.0,1,4.0,8.39
26,5.999975173693729,4.0,2.0,0,3.0,6.47
20,4.657581651695957,3.0,2.0,0,2.0,6.92
36,7.872003889502088,2.0,2.0,0,3.0,7.29
33,7.830999330480454,2.0,2.0,0,4.0,7.63
33,5.574023968867555,2.0,3.0,0,3.0,6.25
20,2.974607749034538,3.0,3.0,0,4.0,6.21
37,7.739371941236592,3.0,2.0,1,4.0,7.23
39,6.663753895730196,3.0,4.0,1,4.0,7.44
18,7.6049281022662045,3.0,2.0,0,1.0,5.36
37,10.522914160551348,5.0,3.0,0,2.0,6.22
28,6.951702681323693,3.0,2.0,1,3.0,7.11
34,6.075090489683011,5.0,5.0,1,5.0,5.27
25,4.934820458232988,4.0,3.0,1,3.0,6.76
21,6.437640775308911,3.0,4.0,0,3.0,4.95
23,7.2890392293081545,3.0,2.0,0,5.0,8.83
25,7.095953357077769,2.0,2.0,1,4.0,7.97
37,10.102237612120785,4.0,2.0,0,4.0,8.6
20,7.898354017838697,1.0,5.0,0,3.0,4.0
33,6.757358431287022,4.0,2.0,0,5.0,7.88
20,5.7281909580997485,1.0,2.0,0,5.0,5.5
35,7.480010974809977,3.0,4.0,1,4.0,6.96
31,5.367385314911213,2.0,3.0,0,3.0,5.44
35,7.323695943168231,2.0,2.0,0,4.0,8.3
19,7.877345068428718,2.0,2.0,0,2.0,7.01
39,6.6103859990113945,5.0,3.0,0,4.0,5.44
20,5.865484400682745,2.0,3.0,1,3.0,6.09
33,3.0664656747971692,4.0,3.0,0,3.0,5.99
26,9.058906107556703,4.0,2.0,0,5.0,9.37
21,7.725940702441507,1.0,2.0,1,4.0,6.64
18,7.769711106852608,2.0,1.0,0,2.0,7.27
21,4.18956579560086,4.0,2.0,0,3.0,6.6
18,9.483709659532103,3.0,2.0,0,4.0,9.59
31,6.162609640087456,4.0,2.0,0,2.0,6.83
38,6.480168455140925,3.0,2.0,1,5.0,8.03
33,5.075283660246114,3.0,5.0,1,4.0,6.93
37,3.783497683588273,3.0,3.0,1,5.0,7.4
25,9.083223361102421,3.0,1.0,0,3.0,8.31
24,9.315875264915725,2.0,3.0,0,3.0,7.26
20,6.70204932756401,3.0,3.0,1,4.0,6.84
34,5.77710777434857,3.0,2.0,1,3.0,7.88
18,6.321320495558335,3.0,3.0,0,2.0,5.55
33,6.37069301793601,3.0,3.0,0,4.0,8.33
29,4.840252500076723,2.0,3.0,0,2.0,6.08
36,6.473940612201088,4.0,1.0,0,5.0,8.22
39,7.275583587281786,3.0,3.0,0,4.0,7.69
40,8.832683045767753,2.0,4.0,0,3.0,6.07
39,7.025639495224682,3.0,4.0,0,5.0,7.61
31,4.162566923981015,2.0,1.0,0,5.0,9.05
23,7.636386153757618,2.0,2.0,0,4.0,8.96
23,6.539324988994444,3.0,2.0,0,5.0,8.38
30,9.46673744917096,5.0,3.0,1,5.0,7.36
36,9.573024043679213,3.0,2.0,0,4.0,7.97
39,9.636017762081138,4.0,2.0,0,4.0,7.8
25,5.989141716328097,3.0,3.0,0,5.0,6.83
19,10.581739132007604,3.0,2.0,1,2.0,7.13
38,7.631696508812272,3.0,3.0,0,4.0,7.56
18,9.927484730203538,5.0,2.0,1,3.0,8.13
32,6.0952846951028326,3.0,2.0,0,3.0,6.8
18,6.462525872302672,3.0,4.0,1,4.0,8.24
22,7.4932492348097535,4.0,5.0,1,4.0,5.09
33,7.273379697305091,3.0,4.0,0,2.0,5.46
36,9.258661498244505,1.0,2.0,1,4.0,7.59
21,6.582167226612782,3.0,3.0,1,3.0,7.91
20,9.096306982558641,2.0,2.0,0,5.0,7.97
34,8.318022112838776,5.0,3.0,0,5.0,5.99
34,6.6158940065071326,3.0,2.0,0,3.0,6.98
29,8.178417911468165,2.0,4.0,0,5.0,6.53
31,6.148122915700512,4.0,4.0,0,4.0,6.72
38,11.230370440010299,4.0,4.0,0,3.0,7.34
23,2.204201822065995,1.0,2.0,1,3.0,4.53
20,8.211297768091072,4.0,4.0,1,2.0,6.55
26,3.823727363301315,3.0,3.0,0,2.0,6.43
22,6.593817934207476,4.0,3.0,0,2.0,5.98
34,6.845905438951757,3.0,3.0,0,4.0,7.42
31,9.713740406044632,5.0,4.0,0,2.0,5.32
38,5.754126018261598,3.0,2.0,1,3.0,8.24
20,9.3544214481912,4.0,2.0,1,4.0,7.21
18,4.8781300475953655,3.0,1.0,0,5.0,8.51
37,9.424005502758758,4.0,2.0,1,2.0,7.45
38,6.146178204573749,1.0,3.0,1,4.0,6.44
40,7.1321821346340135,3.0,2.0,0,3.0,8.61
18,6.394518406401272,2.0,2.0,0,3.0,6.4
20,9.308254253408087,2.0,1.0,1,4.0,7.76
35,8.957931717820745,2.0,2.0,0,3.0,6.8
27,7.798303097052145,4.0,4.0,0,3.0,5.82
39,4.926636907743807,3.0,1.0,0,4.0,7.71
20,5.712960637545563,3.0,3.0,1,5.0,7.77
25,5.148562254088974,3.0,3.0,1,5.0,7.64
31,2.953342803774106,4.0,5.0,1,3.0,5.21
35,9.270372583330083,3.0,3.0,1,3.0,6.76
32,6.409917652583146,3.0,3.0,0,4.0,8.55
39,6.390710864273865,2.0,3.0,0,3.0,6.93
40,9.692984020166008,5.0,3.0,1,4.0,8.7
19,6.143220515704538,4.0,3.0,1,4.0,6.99
27,5.487152315765324,3.0,4.0,0,4.0,6.57
19,6.595457883073028,2.0,3.0,1,4.0,7.57
34,4.961195706621586,2.0,4.0,1,2.0,5.81
25,7.619840384718321,2.0,5.0,1,3.0,5.32
18,6.327408259124494,1.0,3.0,1,3.0,4.65
26,6.086911460931137,2.0,3.0,1,4.0,6.99
28,5.930974290363456,3.0,2.0,1,5.0,8.33
39,6.8088013110843795,3.0,3.0,1,5.0,8.58
33,7.150266025935732,5.0,4.0,0,4.0,4.0
24,6.064044840866461,3.0,3.0,0,3.0,6.67
27,6.354221315028735,3.0,3.0,0,5.0,7.84
40,6.853258911725172,4.0,2.0,1,4.0,8.77
20,6.67164735602883,1.0,3.0,0,3.0,4.42
35,7.055936740375025,2.0,2.0,0,4.0,7.75
30,5.781992554153575,4.0,1.0,0,3.0,8.03
24,8.808267236427683,3.0,3.0,0,2.0,6.96
21,7.174290719337131,3.0,4.0,1,3.0,7.48
30,6.093075844915221,2.0,2.0,0,3.0,6.52
37,7.6198915912813625,3.0,2.0,0,3.0,7.97
18,6.866136522126314,2.0,4.0,0,3.0,5.15
25,3.8791125619293974,3.0,3.0,0,4.0,6.61
31,7.613714842398927,2.0,3.0,1,4.0,6.64
33,5.164888835708463,3.0,2.0,1,2.0,6.43
31,8.681970009816354,5.0,3.0,0,5.0,6.82
29,6.564850649991795,3.0,4.0,0,2.0,6.15
36,8.404126535303915,3.0,3.0,0,3.0,6.61
40,5.865606604244308,3.0,3.0,0,4.0,7.67
32,7.125872680853152,3.0,1.0,1,3.0,8.19
19,9.178438300912378,3.0,3.0,1,5.0,7.12
19,6.515770216453319,3.0,2.0,0,3.0,7.55
40,5.936529222275551,3.0,4.0,1,3.0,6.22
39,8.179073104807221,3.0,3.0,1,4.0,7.38
36,8.144190874151729,3.0,3.0,0,1.0,6.78
39,6.012251559853326,3.0,3.0,0,4.0,7.71
39,3.426170163248028,1.0,3.0,1,5.0,4.66
34,5.90195864050296,5.0,4.0,1,1.0,4.83
37,8.21924713903556,4.0,4.0,1,3.0,6.23
27,5.604938459037297,2.0,1.0,0,2.0,7.1
23,6.980311893370848,3.0,2.0,0,4.0,7.26
32,5.816527111660581,2.0,3.0,0,5.0,7.64
39,3.5220991074531103,3.0,2.0,0,4.0,7.58
28,5.784133881328129,2.0,1.0,1,3.0,7.19
22,8.211637637241482,3.0,2.0,0,1.0,5.91
18,2.7335455358815377,2.0,2.0,1,3.0,6.2
25,7.453901230856037,3.0,1.0,1,3.0,7.9
38,4.865075383481056,4.0,1.0,1,4.0,8.15
29,8.095195725053546,2.0,1.0,1,4.0,7.93
29,8.285774084572576,3.0,4.0,0,4.0,7.14
22,6.690493717159703,2.0,3.0,1,3.0,5.81
24,6.694597314193801,3.0,3.0,1,4.0,8.09
21,5.548547145154657,2.0,3.0,0,3.0,7.06
23,4.577949879811062,4.0,3.0,1,3.0,6.53
30,10.05656723140072,2.0,2.0,0,3.0,4.98
37,5.4428714310919695,2.0,4.0,0,4.0,6.43
32,9.82203303615365,3.0,3.0,0,1.0,5.55
20,5.452899928359681,3.0,3.0,0,2.0,6.24
40,7.945342702607911,3.0,3.0,1,5.0,8.03
25,4.951947112623458,3.0,3.0,0,3.0,7.28
37,7.942111030423628,3.0,3.0,1,5.0,8.07
33,6.413942757124381,1.0,3.0,1,3.0,6.62
30,6.4374709107837935,3.0,2.0,0,3.0,7.52
35,8.098041705612012,4.0,3.0,1,4.0,7.25
27,6.155545542857624,5.0,3.0,1,4.0,5.64
36,4.4293327081988245,3.0,2.0,1,3.0,7.6
34,8.370350014137015,2.0,3.0,0,3.0,6.52
36,4.937378938031809,3.0,3.0,1,4.0,6.87
40,7.929731111916238,3.0,4.0,0,3.0,6.45
22,8.7513937815994,4.0,1.0,0,3.0,7.1
38,6.324111004566008,2.0,3.0,0,3.0,5.98
40,9.128235119365211,3.0,2.0,1,2.0,7.36
26,7.867210674150311,4.0,2.0,1,5.0,7.99
29,5.747449443739404,3.0,3.0,1,3.0,7.11
38,9.522572204078934,5.0,1.0,0,4.0,8.4
18,4.944990720869097,3.0,3.0,1,3.0,4.57
18,6.3219392261735825,4.0,3.0,0,4.0,7.49
32,6.628633353485208,2.0,2.0,0,3.0,6.34
19,8.08940266183286,2.0,3.0,1,2.0,5.83
39,9.007779935286042,4.0,2.0,1,4.0,8.57
33,8.895024802424885,3.0,4.0,0,4.0,6.99
25,7.402746975233751,4.0,4.0,0,3.0,5.46
30,6.49551561196558,3.0,3.0,1,5.0,7.47
38,3.7132283650702655,3.0,2.0,1,4.0,8.43
18,4.63453746198061,2.0,3.0,1,4.0,5.85
33,10.179979880724584,4.0,3.0,0,4.0,7.87
24,3.695070422495429,4.0,3.0,1,1.0,6.18
22,5.587916842164203,3.0,2.0,1,4.0,7.82
39,9.06029130769016,4.0,2.0,0,5.0,7.83
40,7.377483938555261,4.0,3.0,0,4.0,7.32
20,8.670481127810246,2.0,3.0,1,3.0,6.98
29,7.977091032287218,4.0,3.0,1,2.0,5.95
33,9.645248567249595,4.0,3.0,1,2.0,6.84
36,7.531769115816793,3.0,4.0,0,2.0,5.79
22,8.19420591247272,5.0,3.0,1,3.0,5.09
39,5.696356242294987,4.0,3.0,0,3.0,7.78
31,8.055399356040645,2.0,1.0,1,3.0,8.21
22,6.286973023619388,3.0,4.0,0,4.0,7.13
32,6.184409437634717,3.0,3.0,1,2.0,7.24
34,8.610502326364848,5.0,2.0,1,3.0,6.28
31,8.622922076906855,3.0,3.0,1,3.0,7.56
37,10.039195880343037,5.0,3.0,0,3.0,5.21
22,9.921873733875161,3.0,2.0,0,4.0,7.85
29,8.651167290445796,3.0,1.0,0,4.0,8.32
33,3.9031979015739173,2.0,1.0,0,3.0,5.06
33,10.289825769309454,4.0,2.0,1,3.0,7.79
38,8.652341807199452,3.0,1.0,0,3.0,7.53
24,5.621451837844655,2.0,1.0,0,5.0,8.25
21,8.312036480013008,5.0,4.0,1,2.0,4.0
18,5.132921666267089,4.0,3.0,0,5.0,7.52
22,8.113534216197536,3.0,2.0,1,2.0,7.91
40,4.630713926066621,3.0,2.0,0,4.0,7.53
27,5.545206864184054,2.0,4.0,0,4.0,5.66
39,8.277872432560947,4.0,4.0,1,2.0,7.41
22,8.931196137387209,3.0,3.0,1,4.0,7.15
21,7.585786346980859,3.0,4.0,1,3.0,6.22
19,6.484896453961653,3.0,2.0,1,5.0,8.61
37,3.193240668969417,4.0,3.0,0,2.0,6.56
27,6.623762020627552,3.0,1.0,0,3.0,7.62
36,7.96027313828415,2.0,2.0,1,4.0,8.23
18,6.429822809315835,2.0,3.0,1,4.0,6.06
22,6.959359706030047,3.0,1.0,0,4.0,8.19
30,6.665888557747743,5.0,3.0,1,4.0,6.32
21,6.4209288079214195,2.0,3.0,0,3.0,5.81
33,7.136579301927663,4.0,3.0,1,3.0,5.65
33,6.509149752125571,2.0,5.0,1,5.0,7.14
40,9.597921196537497,4.0,3.0,1,4.0,8.95
19,3.028446072909281,4.0,2.0,1,3.0,5.56
34,6.01748334525206,3.0,1.0,0,2.0,7.84
37,5.433538797668994,3.0,3.0,1,5.0,7.53
29,7.394399080061938,3.0,3.0,0,5.0,8.21
35,7.138860614589627,2.0,1.0,1,3.0,7.59
20,9.919947582788971,5.0,2.0,1,3.0,7.48
18,10.51205568693603,4.0,3.0,0,3.0,6.57
18,5.608449779973133,2.0,3.0,1,3.0,5.73
36,7.000900117060533,2.0,3.0,0,4.0,7.35
28,7.3533479504638395,1.0,2.0,1,2.0,5.08
22,5.5639352529927955,3.0,3.0,0,3.0,6.09
29,8.13108766486772,4.0,3.0,1,3.0,7.65
20,6.568886736223099,2.0,2.0,1,4.0,7.27
18,5.0782572689182395,4.0,2.0,1,4.0,6.85
18,6.496777052320223,3.0,3.0,1,4.0,7.77
25,5.204185769066832,2.0,2.0,1,5.0,8.26
